number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.2191148,127.1842641,197.664,0,0,0,0,0,0
384,7,37.21888644,127.1841602,205.8202209,0,0,-0.5,-45.9,2660,2298
385,7,37.2188601,127.1841389,204.8346252,0,0,-0.8,-32.7,2624,1977
386,7,37.21889822,127.1841987,204.753952,0,0,-2.7,-54.4,2549,1957
387,7,37.2189136,127.1841722,202.6715546,10,0,-4.5,-54.3,2618,2039
388,7,37.21886832,127.1840805,202.8679962,10,0,-4.4,-13.3,2696,2029
389,8,37.2187137,127.1840266,203.3141785,2.9,0,-0.6,-38.1,2429,1926
390,8,37.21875624,127.1840875,203.2188721,2.9,0,-2.3,-61.2,2866,1962
391,8,37.21880107,127.1840205,205.5766144,-4,0,-2.5,-61.9,2639,1871
392,8,37.21878448,127.1840647,203.5991974,3.6,0,-2.5,-62.5,2611,1967
393,8,37.21873478,127.1839703,203.5497437,3.6,0,-1.9,-31.4,2538,1893
394,13,37.21868825,127.1838881,203.4937897,2.4,0,-3.9,-24.7,2555,2257
395,13,37.21873388,127.1838461,203.5997162,2.4,0,2.3,-26.4,2606,2365
396,13,37.21870261,127.1838938,203.5570221,0,0,7.2000003,-44,2708,2089
397,13,37.21873686,127.1839321,203.471344,0,0,6.8,-60.1,2504,2089
398,13,37.21872598,127.1838712,203.5450745,0,0,2.5,-33.7,2550,2095
399,12,37.21870504,127.1838339,207.4015198,-10,0,-7.5,-28.6,2296,2236
400,12,37.21868459,127.1838451,202.111969,10.7,0,-10.2,-28.9,2551,2152
401,12,37.21873772,127.1839119,202.1219025,10.7,0,-9.3,-62.7,2716,2181
402,12,37.21866459,127.1837923,203.6158142,1.9,0,-2.7,-14.3,2596,1944
403,14,37.21864302,127.1838043,202.2624817,-3.5,0,-1.9,-36.5,2850,2157
404,14,37.21865772,127.1838785,201.9970856,-3.5,0,-3,-51.5,2558,1986
405,14,37.21868214,127.1838581,202.1234436,-3.5,0,-3.1000001,-54,2512,2071
406,14,37.21864208,127.1837983,202.0617981,-5.9,0,-12.900001,-24.5,2711,1855
407,14,37.21865348,127.1837315,202.0517578,-5.9,0,-5.1,-9.5,2655,1926
408,17,37.21920233,127.1837719,204.8229828,0,0,-1.2,145.7,2253,2001
409,17,37.21922957,127.1838239,204.9870148,0,0,-2.7,162.3,2574,2033
410,17,37.21920572,127.1837643,203.2557983,3.9,0,4.9,135.1,2593,1904
411,17,37.21917655,127.1837389,203.2502289,3.9,0,3.3,123.5,2486,1875
412,17,37.21918896,127.1837712,204.3644104,3.9,0,4.2000003,138,2157,2157
413,18,37.21916781,127.1837308,202.9387665,-4.3,0,4.3,137.3,2333,2062
414,18,37.21914263,127.1837015,202.8829803,-4.3,0,4.5,120,2669,2037
415,18,37.21920338,127.1837529,202.9068146,-4.3,0,-1.6,154.9,2515,1973
416,18,37.21918189,127.1837637,204.6013947,-9.1,0,-5.5,154.5,2688,2060
417,18,37.21916078,127.1837155,204.0066071,-9.1,0,18.2,115.2,2593,1847
418,19,37.219129,127.183638,206.5223541,2,0,5.7000003,135.6,2679,2141
419,19,37.21909917,127.183599,206.5602875,2,0,4.5,121.4,2619,2183
420,19,37.21918009,127.1837094,206.6049194,2,0,0.4,167.8,2528,2183
421,19,37.2191803,127.1837098,204.9636688,2,0,-0.1,167.4,2526,1811
422,19,37.21916637,127.183661,204.9480743,2,0,25.1,128.8,2625,1835
423,22,37.21912522,127.1835707,204.0211639,-4,0,2.8,140.8,2420,2183
424,22,37.21909057,127.1836031,201.8701324,-4,0,3.3,140.2,2448,1758
425,22,37.21905859,127.1835607,201.9286499,-2.1,0,3.7,121,2617,1947
426,22,37.21913797,127.1836736,201.9427643,-2.1,0,1.1,168.9,2420,1920
427,22,37.21910318,127.1836253,200.8414307,0.7,0,5.3,144.9,2607,1922
428,23,37.21904717,127.1835416,203.7715607,0.7,0,2.3,139.4,1984,1786
429,23,37.219024,127.1835112,203.7113953,0.7,0,2.5,116.3,2778,1791
430,23,37.21904676,127.1834668,203.1757507,3.4,0,4.8,116.5,2633,1921
431,23,37.21917949,127.1836379,203.2051392,3.4,0,4.7000003,166.3,2741,1956
