number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.2191148,127.1842641,197.664,0,0,0,0,0,0
334,7,37.21887977,127.1841293,206.3168945,0,0,-15.900001,-23.5,2821,2519
335,7,37.21888883,127.1841648,206.3535767,-6.1,0,-2.2,-47.8,2777,1888
336,7,37.21892846,127.184135,206.3130035,-6,0,-2.5,-59.5,3149,2113
337,7,37.21891782,127.1842007,204.8671722,-0.7,0,-8,-59,2680,1908
338,7,37.21884771,127.1841267,204.7831573,-0.7,0,0.4,-26.9,2536,1915
339,8,37.21874875,127.1839795,204.8784637,-0.7,0,3.6000001,-45.2,2703,1932
340,8,37.21880015,127.1839302,206.2507324,-6,0,3,-45.3,2657,2129
341,8,37.21876345,127.1840193,206.1760559,-3.5,0,-1.2,-52,2721,1991
342,8,37.21881314,127.184067,206.1153412,-3.5,0,-19.1,-57.5,2769,1997
343,8,37.2187039,127.183931,206.1527405,-3.5,0,-18.1,-5,2940,2022
344,13,37.21869285,127.1838981,205.9710541,-8,0,-17.7,-15.3,2625,2011
345,13,37.21874223,127.1838831,205.9622803,-12,0,-19.6,-20.1,2543,1991
346,13,37.21869906,127.183901,202.8843689,2.5,0,-16.800001,-18.7,2581,2116
347,13,37.21874099,127.1838326,202.9013062,3.8,0,1.2,-19.1,2518,2120
348,13,37.21870765,127.1839082,202.9315643,1.4,0,-16.6,-22.6,2553,2055
349,12,37.21868672,127.1838398,202.8965302,5.4,0,-3.5,-34,2667,2007
350,12,37.21873303,127.1838179,204.0410461,5.4,0,-3.1000001,-38.2,2396,2346
351,12,37.21869964,127.183874,204.1295929,3.4,0,-13.900001,-37.5,2616,2229
352,12,37.21866935,127.1838205,204.1700897,0.6,0,-7.1,-20.5,2621,2020
353,12,37.21866253,127.1838234,200.8441467,11.9,0,-7.4,-20.7,2634,1916
354,14,37.21866137,127.1838188,200.8719482,1.7,0,-5.7000003,-40.1,2788,2178
355,14,37.21869476,127.1838632,200.7503662,-0.1,0,-18,-47.6,2733,2031
356,14,37.2187291,127.1838346,200.8569794,-0.1,0,-18.800001,-56.5,2601,2075
357,14,37.21866377,127.183742,203.0038757,-10.8,0,2.8,-18.8,2364,1992
358,14,37.21865454,127.183745,201.4890594,-3.9,0,-0.4,-19.1,2761,1942
359,17,37.21918899,127.1837733,205.8057404,-3.9,0,-1.4,140.3,2551,2051
360,17,37.21917032,127.1837476,205.8180237,-3.9,0,-2,126.2,2821,2013
361,17,37.21924401,127.1837983,204.7635651,0.5,0,-11.400001,166.3,2345,2046
362,17,37.21920904,127.183808,207.2402344,-6.5,0,-17.300001,166,2745,2134
363,17,37.21922504,127.1837027,207.274826,-6.5,0,-7.6,137.5,2626,1920
364,18,37.21917877,127.1836738,204.6808319,-6.5,0,-6.4,137.5,2500,2157
365,18,37.21915157,127.1837036,204.0545044,-7.5,0,-1.3000001,130.1,2715,2078
366,18,37.2191257,127.1836774,203.9702148,-7.5,0,-2.3,116.1,2821,2018
367,18,37.2191807,127.1837465,203.1732941,-5.8,0,-18.4,162.8,2653,1928
368,18,37.21916526,127.1837561,203.1527405,-5.7,0,-7.7000003,154.6,2442,1981
369,19,37.21912712,127.1836787,207.3469391,-5.7,0,7.8,143.2,2628,1715
370,19,37.2191115,127.1835923,207.3380585,-5.7,0,7.3,124.3,2167,1702
371,19,37.21917433,127.1836066,207.329422,-2.9,0,19.5,124.5,2568,1841
372,19,37.21915167,127.1836906,207.5296631,-4.6,0,10.5,144.9,2707,1822
373,19,37.21917884,127.183666,207.3350067,-4.6,0,10.1,145.2,2482,1741
374,22,37.21914169,127.1836018,204.6107025,-8.8,0,20.4,130.3,2703,1877
375,22,37.21909594,127.1836437,203.9364624,-8.1,0,16.1,140.9,2556,1974
376,22,37.21905431,127.183579,203.9082794,-8.1,0,3.2,119.5,2855,2038
377,22,37.2191759,127.1836834,203.8837128,-5,0,4.1,168,2650,1989
378,22,37.21913799,127.1836757,203.1227875,-5,0,7.3,160.8,2596,1914
379,23,37.21905748,127.1835575,205.7484894,-2.7,0,9.8,129,2627,1973
380,23,37.21908272,127.1835173,205.8112335,-2.7,0,9.3,129,2383,1925
381,23,37.21902756,127.1834691,205.6525421,-2.7,0,-4.3,117.2,2779,1925
382,23,37.21912087,127.1835671,205.7646942,-2.7,0,5.4,144.1,2930,1925
383,23,37.21915294,127.1836268,201.8953247,6.9,0,0.8,167.9,2605,1912
